Frame no,Blink Ratio,Left Eye ratio,Right Eye Ratio,Sub_P1,Sub_P2,Sub_P3,Sub_P4,Sub_P5,REB_P1,REB_P2,REB_P3,REB_P4,REB_P5,N_Blink ratio,N_left Blink,N_right Blink,Mouth_Ratio,Normalized Mouth ratio,Norlamized Nose Ratio,Nose ratio
1,1.996129994498367,2.011355048952814,1.980904940043919,0.08869566429369341,-0.3312689846566573,-0.6729659237510798,-0.734771845258456,-0.7983209146033403,0.8033226896628219,0.1373898552320866,-0.5446621024587898,-0.9683125986488477,0.9142459399016905,0.524805188053237,0.5700217270889701,0.3993829616219468,0.01715945029963703,-2.574816667925262,-0.6575654758117895,0.2665475857534305
2,2.015691145810334,2.048926490255399,1.982455801365269,0.1684389758298968,-0.87705520997093,-1.109492206791333,-0.7410004918523467,-0.6587373145122551,-1.173455708667248,-0.7992600777542755,-0.7082006990141747,-0.5127688593166944,0.2752202597495236,0.8324790979856406,1.000773974475593,0.4357902715655756,0.03433609215841479,1.556719523297545,-0.8478293285391412,0.265753234227193
3,1.998821024140226,2.015186246915182,1.982455801365269,-0.6687373261940464,-0.5305088619837933,-0.5636451626732034,-0.2648264892154024,-0.09245101563037289,-1.41810885994184,-0.7553148698925144,-0.6421745251932091,-0.6636792200487535,0.151297918658239,0.5671319201790814,0.6139459704839023,0.4357902715655756,0.02745856618574883,-0.09754722428696687,-0.6852645227752749,0.2664319422409326
4,1.990000978448335,2.005692611133694,1.974309345762976,-1.689919630222675,-0.4438604040650102,-1.012199422748709,-0.8586785837557285,-1.149368198466677,-1.11746420243641,-1.067733183007316,-0.81153262243544,-1.324728173199455,-1.507555401330967,0.4284029721469531,0.505102529642446,0.2445478116681468,0.02744344955272977,-0.1011832619316447,-1.256775842938296,0.2640458826561723
5,1.98545875061383,1.989393842674616,1.981523658553044,-0.6119494204694941,-0.4438604040650102,-0.4373550689032268,-0.4998419377763039,-1.149368198466677,-1.656477985166331,-0.705914006138968,-0.3679506671822161,0.5943226232821082,1.298306075573166,0.3569590691088467,0.3182390264076375,0.4139077139124716,0.02408275567188384,-0.9095384986824451,-0.8758009354167191,0.2656364527771382
6,1.972261347590104,1.985935047468088,1.958587647712119,0.02836477197154814,-0.33008483290792,-0.2532685507751432,-0.2113677706334804,0.1943098519199947,0.02848792696527466,-0.705914006138968,-0.1768349828914638,0.3987517077150673,1.555631565274611,0.1493794371891481,0.2785843377183463,-0.1245275697976448,0.02766878222695851,-0.04698348840808524,-0.3569890383278624,0.2678024922868777
7,1.994456811516695,2.014604277270414,1.974309345762976,-0.9982793048953841,-1.429837180226294,-0.7759718104493691,-1.092624204583002,-1.49912993861362,-1.656477985166331,-1.334617420810357,-0.9123044737323399,-1.222440525924031,0.2752202597495236,0.4984879870974632,0.6072737555327675,0.2445478116681468,0.02788223393171437,0.004358528880723665,-1.172559386922848,0.2643974863339663
8,2.003041963022562,1.990605413064614,2.01547851298051,0.08869566429369341,-0.3312689846566573,-0.7759718104493691,-0.6246323748515725,-0.2168384262487483,1.589517958156429,-0.7992600777542755,-0.7082006990141747,-1.42370775734242,-0.9955808016942287,0.6335223257744647,0.3321295413909585,1.211016322021725,0.03140007174001057,0.8505119469541373,-0.6575654758117895,0.2665475857534305
9,1.997465903414359,2.015705137850533,1.979226668978185,0.4306141435691979,-0.983410434226922,-0.6729659237510798,-0.734771845258456,-0.7983209146033403,1.715341959853552,0.4518837595042253,-0.1768349828914638,-0.3143896962729584,-0.9955808016942287,0.5458174645262206,0.6198949952964095,0.3599846388844746,0.02766878222695851,-0.04698348840808524,0.2649647329347626,0.2703991490893636
10,2.00315147327345,2.031993600783923,1.974309345762976,-0.6687373261940464,-1.632458497983076,-1.033144694184519,-1.204367533717996,-1.49912993861362,0.02848792696527466,-0.07270361095378972,-0.3679506671822161,-0.3143896962729584,-0.9955808016942287,0.6352447932576342,0.8066403468661132,0.2445478116681468,0.03165631281442108,0.9121461872968635,-0.3283370368085215,0.2679221143843513
11,2.001537987828297,2.023093908660116,1.979982066996478,-0.2230344862536064,-0.1137414237892854,-0.7759718104493691,-0.6246323748515725,-0.2168384262487483,0.02848792696527466,-0.07270361095378972,-0.3679506671822161,-0.1030124748949204,1.298306075573166,0.6098665643583283,0.7046064016547698,0.3777180167205166,0.02408275567188384,-0.9095384986824451,0.2908615166430651,0.270507268153329
