Frame no,Blink Ratio,Left Eye ratio,Right Eye Ratio,Sub_P1,Sub_P2,Sub_P3,Sub_P4,Sub_P5,REB_P1,REB_P2,REB_P3,REB_P4,REB_P5,N_Blink ratio,N_left Blink,N_right Blink,Mouth_Ratio,Normalized Mouth ratio,Norlamized Nose Ratio,Nose ratio
1,2.09245487685304,2.140852337496556,2.044057416209523,-1.180191865361206,-1.371570332431108,-1.398886979783459,-1.330385795029478,-1.315908627313707,-1.400025481455184,-1.41266448106087,-1.30827459858245,-1.146959235110544,-1.011762256911805,1.246011188468649,1.262770619217412,1.208761566824729,0.03600828285769547,-0.3077466699714742,1.567359084199553,0.2611082016387903
2,2.098106239355628,2.169322063483147,2.02689041522811,-1.111920865749737,-1.181782932912072,-1.377453821581391,-1.330385795029478,-1.315908627313707,-1.729442482408982,-1.627714553555496,-1.469463301958843,-1.415976283028616,-1.246469034019677,1.273281673678559,1.375901840740196,1.104303390250913,0.02903080574723811,-0.5277802416107856,1.567359084199553,0.2611082016387903
3,2.131308732958826,2.213511644197143,2.04910582172051,-1.403110528490096,-1.27746039919978,-1.398886979783459,-1.448152091235012,-1.420084761039307,-1.45604513433582,-1.468871932259729,-1.370269546931544,-1.400748767569168,-1.253565125060639,1.433499339829579,1.551499640561262,1.239480224955745,0.03572112076631747,-0.3168022784106074,1.417359788320672,0.2602872022116657
4,2.101624340085987,2.147092857317006,2.056155822854968,-1.291987489273434,-1.353193179430277,-1.461022787179982,-1.506975768782127,-1.47182592128814,-1.45604513433582,-1.356225335159271,-1.407247671150402,-1.341206680680339,-1.151692674345866,1.2902581663191,1.287568807670552,1.282378239824278,0.03572112076631747,-0.3168022784106074,1.567359084199553,0.2611082016387903
5,2.117142574098953,2.190227731988383,2.044057416209523,-1.54811449494827,-1.476517066448491,-1.408951612668655,-1.429870717312187,-1.473811643431906,-1.400025481455184,-1.197605137613786,-1.269832897209435,-1.175008574302727,-1.011762256911805,1.365140952716304,1.458975482399469,1.208761566824729,0.03602346612419951,-0.3072678682061445,0.8544863544494729,0.2572063959715816
6,2.134981710611299,2.175357509353589,2.094605911869011,-1.001827841622271,-1.201574097361013,-1.336739257624559,-1.389288483316512,-1.368111166999193,-1.182647461829743,-1.309701787286198,-1.393244193103196,-1.297060447386802,-1.204903838162179,1.451223186548352,1.399885119120863,1.516340257526514,0.03319799646373008,-0.3963685805567222,-0.2135316947545254,0.2513607538209466
7,2.150572054394281,2.198245917840855,2.102898190947708,-0.8561629926568413,-1.305301983723866,-1.326312415430066,-1.407018554691724,-1.319331724334228,-1.128960881819074,-1.313254267927742,-1.351129999665414,-1.386690725703927,-1.226617225245749,1.526453936541204,1.490837649261,1.566797314827308,0.03600828285769547,-0.3077466699714742,1.567359084199553,0.2611082016387903
8,2.080891959812233,2.106000081033638,2.055783838590827,-0.5841175544143553,-1.172303423337591,-1.140013126034131,-1.229823134078625,-1.258616923371601,-1.01801580386027,-1.202128394530913,-1.22736380428863,-1.236419647495431,-0.9866228860206412,1.190214668956707,1.124276896154103,1.280114781111345,0.03572112076631747,-0.3168022784106074,1.567359084199553,0.2611082016387903
9,2.029161436649072,2.032169033977971,2.026153839320174,-0.7459057813507284,-0.8318256326595013,-0.847571335459313,-0.9370761588460382,-1.028718034990948,-1.052957682001765,-1.169500198540243,-1.095631470521898,-1.116750363341664,-0.905889414114826,0.9405905356303311,0.8308916860664565,1.099821455617457,0.03293324609693921,-0.4047174390159645,-0.5916912215006559,0.2492909524062056
10,1.80015909302087,1.751131035224228,1.849187150817513,0.07346099384161359,0.08666929250349738,0.04232296384039276,0.02173687169072661,-0.2963881407765354,-0.279045293922173,-0.1982527533787538,-0.1717198352067978,-0.155895776367837,-0.3304236505171468,-0.1644536058642259,-0.2858795855750128,0.02301033320252035,0.02586476014775063,-0.627620959136621,-0.2479493638119762,0.2511723736928029
11,1.678163838596857,1.633716958781681,1.722610718412033,1.052548242755615,1.10892238535959,0.7862412907689844,0.5990784661007863,0.2938738307525928,0.3753370112986618,0.424402866662516,0.5571652431242647,0.6238710011818344,0.6917396219808295,-0.7531381540462552,-0.7524523196494848,-0.7471849583693924,0.02587774729109386,-0.6272114117472186,0.08890297243369975,0.2530160861813374
12,1.596035502437909,1.524252543946652,1.667818460929167,1.936376833747351,1.615725085125575,1.272914445012845,0.9504554687512528,0.5421355164855787,0.6738897143168593,0.8884542216759489,1.119345302197545,1.32779003431435,1.736765946092964,-1.149446048914298,-1.187435184233298,-1.08058619212128,0.02566804108446372,-0.6338244618381471,-0.2669924933510852,0.2510681438805851
